Date,Site ID,Daily Max 8-hour Ozone Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,STATE
2020-10-01,110010041,0.025,ppm,23,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-11-01,110010041,0.03,ppm,28,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-12-01,110010041,0.033,ppm,31,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-09-02,110010041,0.034,ppm,31,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-10-02,110010041,0.024,ppm,22,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-11-02,110010041,0.027,ppm,25,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-12-02,110010041,0.026,ppm,24,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-09-03,110010041,0.041,ppm,38,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-10-03,110010041,0.032,ppm,30,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-11-03,110010041,0.022,ppm,20,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-12-03,110010041,0.031,ppm,29,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-09-04,110010041,0.044,ppm,41,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-10-04,110010041,0.037,ppm,34,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-11-04,110010041,0.043,ppm,40,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-12-04,110010041,0.04,ppm,37,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-09-05,110010041,0.035,ppm,32,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-10-05,110010041,0.043,ppm,40,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-11-05,110010041,0.033,ppm,31,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-12-05,110010041,0.04,ppm,37,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-09-06,110010041,0.041,ppm,38,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-10-06,110010041,0.026,ppm,24,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-11-06,110010041,0.035,ppm,32,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-12-06,110010041,0.046,ppm,43,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-09-07,110010041,0.026,ppm,24,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-10-07,110010041,0.018,ppm,17,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-11-07,110010041,0.035,ppm,32,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-12-07,110010041,0.042,ppm,39,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-09-08,110010041,0.04,ppm,37,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-10-08,110010041,0.043,ppm,40,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-11-08,110010041,0.044,ppm,41,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-12-08,110010041,0.049,ppm,45,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-09-09,110010041,0.014,ppm,13,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-10-09,110010041,0.009,ppm,8,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-11-09,110010041,0.025,ppm,23,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-12-09,110010041,0.026,ppm,24,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-09-10,110010041,0.036,ppm,33,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-10-10,110010041,0.029,ppm,27,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-11-10,110010041,0.024,ppm,22,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-12-10,110010041,0.021,ppm,19,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-09-11,110010041,0.027,ppm,25,RIVER TERRACE,14,82,44201,Ozone,District Of Columbia
2020-10-11,110010041,0.029,ppm,27,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-11-11,110010041,0.015,ppm,14,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-12-11,110010041,0.019,ppm,18,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-09-12,110010041,0.022,ppm,20,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-10-12,110010041,0.012,ppm,11,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-11-12,110010041,0.027,ppm,25,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-12-12,110010041,0.03,ppm,28,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-10-01,110010043,0.02,ppm,19,MCMILLAN  NCore-PAMS,17,100,44201,Ozone,District Of Columbia
2020-11-01,110010043,0.033,ppm,31,MCMILLAN  NCore-PAMS,17,100,44201,Ozone,District Of Columbia
2020-12-01,110010043,0.037,ppm,34,MCMILLAN  NCore-PAMS,17,100,44201,Ozone,District Of Columbia
2020-09-02,110010043,0.038,ppm,35,MCMILLAN  NCore-PAMS,17,100,44201,Ozone,District Of Columbia
2020-10-02,110010043,0.023,ppm,21,MCMILLAN  NCore-PAMS,17,100,44201,Ozone,District Of Columbia
2020-11-02,110010043,0.033,ppm,31,MCMILLAN  NCore-PAMS,17,100,44201,Ozone,District Of Columbia
2020-12-02,110010043,0.029,ppm,27,MCMILLAN  NCore-PAMS,17,100,44201,Ozone,District Of Columbia
2020-09-03,110010043,0.044,ppm,41,MCMILLAN  NCore-PAMS,17,100,44201,Ozone,District Of Columbia
2020-10-03,110010043,0.039,ppm,36,MCMILLAN  NCore-PAMS,17,100,44201,Ozone,District Of Columbia
2020-11-03,110010043,0.028,ppm,26,MCMILLAN  NCore-PAMS,17,100,44201,Ozone,District Of Columbia
2020-12-03,110010043,0.037,ppm,34,MCMILLAN  NCore-PAMS,17,100,44201,Ozone,District Of Columbia
2020-09-04,110010043,0.05,ppm,46,MCMILLAN  NCore-PAMS,17,100,44201,Ozone,District Of Columbia
2020-10-04,110010043,0.044,ppm,41,MCMILLAN  NCore-PAMS,17,100,44201,Ozone,District Of Columbia
2020-11-04,110010043,0.049,ppm,45,MCMILLAN  NCore-PAMS,17,100,44201,Ozone,District Of Columbia
2020-12-04,110010043,0.048,ppm,44,MCMILLAN  NCore-PAMS,17,100,44201,Ozone,District Of Columbia
2020-09-05,110010043,0.039,ppm,36,MCMILLAN  NCore-PAMS,17,100,44201,Ozone,District Of Columbia
2020-10-05,110010043,0.047,ppm,44,MCMILLAN  NCore-PAMS,17,100,44201,Ozone,District Of Columbia
2020-11-05,110010043,0.037,ppm,34,MCMILLAN  NCore-PAMS,17,100,44201,Ozone,District Of Columbia
2020-12-05,110010043,0.046,ppm,43,MCMILLAN  NCore-PAMS,17,100,44201,Ozone,District Of Columbia
2020-09-06,110010043,0.057,ppm,58,MCMILLAN  NCore-PAMS,17,100,44201,Ozone,District Of Columbia
2020-10-06,110010043,0.034,ppm,31,MCMILLAN  NCore-PAMS,16,94,44201,Ozone,District Of Columbia
2020-11-06,110010043,0.045,ppm,42,MCMILLAN  NCore-PAMS,17,100,44201,Ozone,District Of Columbia
2020-12-06,110010043,0.058,ppm,61,MCMILLAN  NCore-PAMS,17,100,44201,Ozone,District Of Columbia
2020-09-07,110010043,0.036,ppm,33,MCMILLAN  NCore-PAMS,17,100,44201,Ozone,District Of Columbia
2020-10-07,110010043,0.034,ppm,31,MCMILLAN  NCore-PAMS,17,100,44201,Ozone,District Of Columbia
2020-11-07,110010043,0.048,ppm,44,MCMILLAN  NCore-PAMS,17,100,44201,Ozone,District Of Columbia
2020-12-07,110010043,0.05,ppm,46,MCMILLAN  NCore-PAMS,17,100,44201,Ozone,District Of Columbia
2020-09-08,110010043,0.046,ppm,43,MCMILLAN  NCore-PAMS,17,100,44201,Ozone,District Of Columbia
2020-10-08,110010043,0.054,ppm,50,MCMILLAN  NCore-PAMS,17,100,44201,Ozone,District Of Columbia
2020-11-08,110010043,0.048,ppm,44,MCMILLAN  NCore-PAMS,17,100,44201,Ozone,District Of Columbia
2020-12-08,110010043,0.052,ppm,48,MCMILLAN  NCore-PAMS,17,100,44201,Ozone,District Of Columbia
2020-09-09,110010043,0.025,ppm,23,MCMILLAN  NCore-PAMS,15,88,44201,Ozone,District Of Columbia
2020-10-09,110010043,0.016,ppm,15,MCMILLAN  NCore-PAMS,17,100,44201,Ozone,District Of Columbia
2020-11-09,110010043,0.032,ppm,30,MCMILLAN  NCore-PAMS,17,100,44201,Ozone,District Of Columbia
2020-12-09,110010043,0.03,ppm,28,MCMILLAN  NCore-PAMS,17,100,44201,Ozone,District Of Columbia
2020-09-10,110010043,0.038,ppm,35,MCMILLAN  NCore-PAMS,17,100,44201,Ozone,District Of Columbia
2020-10-10,110010043,0.029,ppm,27,MCMILLAN  NCore-PAMS,17,100,44201,Ozone,District Of Columbia
2020-11-10,110010043,0.028,ppm,26,MCMILLAN  NCore-PAMS,17,100,44201,Ozone,District Of Columbia
2020-12-10,110010043,0.025,ppm,23,MCMILLAN  NCore-PAMS,17,100,44201,Ozone,District Of Columbia
2020-09-11,110010043,0.029,ppm,27,MCMILLAN  NCore-PAMS,17,100,44201,Ozone,District Of Columbia
2020-10-11,110010043,0.033,ppm,31,MCMILLAN  NCore-PAMS,17,100,44201,Ozone,District Of Columbia
2020-11-11,110010043,0.015,ppm,14,MCMILLAN  NCore-PAMS,17,100,44201,Ozone,District Of Columbia
2020-12-11,110010043,0.02,ppm,19,MCMILLAN  NCore-PAMS,17,100,44201,Ozone,District Of Columbia
2020-09-12,110010043,0.015,ppm,14,MCMILLAN  NCore-PAMS,17,100,44201,Ozone,District Of Columbia
2020-10-12,110010043,0.014,ppm,13,MCMILLAN  NCore-PAMS,17,100,44201,Ozone,District Of Columbia
2020-11-12,110010043,0.028,ppm,26,MCMILLAN  NCore-PAMS,17,100,44201,Ozone,District Of Columbia
2020-12-12,110010043,0.034,ppm,31,MCMILLAN  NCore-PAMS,17,100,44201,Ozone,District Of Columbia
2020-10-01,110010050,0.021,ppm,19,Takoma Rec Center,17,100,44201,Ozone,District Of Columbia
2020-11-01,110010050,0.033,ppm,31,Takoma Rec Center,17,100,44201,Ozone,District Of Columbia
2020-12-01,110010050,0.036,ppm,33,Takoma Rec Center,17,100,44201,Ozone,District Of Columbia
2020-09-02,110010050,0.037,ppm,34,Takoma Rec Center,17,100,44201,Ozone,District Of Columbia
2020-10-02,110010050,0.021,ppm,19,Takoma Rec Center,17,100,44201,Ozone,District Of Columbia
2020-11-02,110010050,0.03,ppm,28,Takoma Rec Center,17,100,44201,Ozone,District Of Columbia
2020-12-02,110010050,0.029,ppm,27,Takoma Rec Center,17,100,44201,Ozone,District Of Columbia
2020-09-03,110010050,0.042,ppm,39,Takoma Rec Center,17,100,44201,Ozone,District Of Columbia
2020-10-03,110010050,0.039,ppm,36,Takoma Rec Center,17,100,44201,Ozone,District Of Columbia
2020-11-03,110010050,0.027,ppm,25,Takoma Rec Center,17,100,44201,Ozone,District Of Columbia
2020-12-03,110010050,0.037,ppm,34,Takoma Rec Center,17,100,44201,Ozone,District Of Columbia
2020-09-04,110010050,0.047,ppm,44,Takoma Rec Center,17,100,44201,Ozone,District Of Columbia
2020-10-04,110010050,0.041,ppm,38,Takoma Rec Center,17,100,44201,Ozone,District Of Columbia
2020-11-04,110010050,0.046,ppm,43,Takoma Rec Center,17,100,44201,Ozone,District Of Columbia
2020-12-04,110010050,0.045,ppm,42,Takoma Rec Center,17,100,44201,Ozone,District Of Columbia
2020-09-05,110010050,0.037,ppm,34,Takoma Rec Center,17,100,44201,Ozone,District Of Columbia
2020-10-05,110010050,0.046,ppm,43,Takoma Rec Center,17,100,44201,Ozone,District Of Columbia
2020-11-05,110010050,0.036,ppm,33,Takoma Rec Center,17,100,44201,Ozone,District Of Columbia
2020-12-05,110010050,0.044,ppm,41,Takoma Rec Center,17,100,44201,Ozone,District Of Columbia
2020-09-06,110010050,0.06,ppm,67,Takoma Rec Center,17,100,44201,Ozone,District Of Columbia
2020-10-06,110010050,0.037,ppm,34,Takoma Rec Center,17,100,44201,Ozone,District Of Columbia
2020-11-06,110010050,0.044,ppm,41,Takoma Rec Center,17,100,44201,Ozone,District Of Columbia
2020-12-06,110010050,0.057,ppm,58,Takoma Rec Center,17,100,44201,Ozone,District Of Columbia
2020-09-07,110010050,0.034,ppm,31,Takoma Rec Center,17,100,44201,Ozone,District Of Columbia
2020-10-07,110010050,0.03,ppm,28,Takoma Rec Center,17,100,44201,Ozone,District Of Columbia
2020-11-07,110010050,0.017,ppm,16,Takoma Rec Center,17,100,44201,Ozone,District Of Columbia
2020-12-07,110010050,0.042,ppm,39,Takoma Rec Center,17,100,44201,Ozone,District Of Columbia
2020-09-08,110010050,0.043,ppm,40,Takoma Rec Center,17,100,44201,Ozone,District Of Columbia
2020-10-08,110010050,0.057,ppm,58,Takoma Rec Center,17,100,44201,Ozone,District Of Columbia
2020-11-08,110010050,0.049,ppm,45,Takoma Rec Center,17,100,44201,Ozone,District Of Columbia
2020-12-08,110010050,0.054,ppm,50,Takoma Rec Center,17,100,44201,Ozone,District Of Columbia
2020-09-09,110010050,0.021,ppm,19,Takoma Rec Center,17,100,44201,Ozone,District Of Columbia
2020-10-09,110010050,0.012,ppm,11,Takoma Rec Center,17,100,44201,Ozone,District Of Columbia
2020-11-09,110010050,0.031,ppm,29,Takoma Rec Center,17,100,44201,Ozone,District Of Columbia
2020-12-09,110010050,0.029,ppm,27,Takoma Rec Center,17,100,44201,Ozone,District Of Columbia
2020-09-10,110010050,0.037,ppm,34,Takoma Rec Center,17,100,44201,Ozone,District Of Columbia
2020-10-10,110010050,0.029,ppm,27,Takoma Rec Center,17,100,44201,Ozone,District Of Columbia
2020-11-10,110010050,0.025,ppm,23,Takoma Rec Center,17,100,44201,Ozone,District Of Columbia
2020-12-10,110010050,0.023,ppm,21,Takoma Rec Center,17,100,44201,Ozone,District Of Columbia
2020-09-11,110010050,0.025,ppm,23,Takoma Rec Center,17,100,44201,Ozone,District Of Columbia
2020-10-11,110010050,0.033,ppm,31,Takoma Rec Center,17,100,44201,Ozone,District Of Columbia
2020-11-11,110010050,0.015,ppm,14,Takoma Rec Center,17,100,44201,Ozone,District Of Columbia
2020-12-11,110010050,0.019,ppm,18,Takoma Rec Center,17,100,44201,Ozone,District Of Columbia
2020-09-12,110010050,0.015,ppm,14,Takoma Rec Center,17,100,44201,Ozone,District Of Columbia
2020-10-12,110010050,0.015,ppm,14,Takoma Rec Center,17,100,44201,Ozone,District Of Columbia
2020-11-12,110010050,0.03,ppm,28,Takoma Rec Center,17,100,44201,Ozone,District Of Columbia
2020-12-12,110010050,0.034,ppm,31,Takoma Rec Center,17,100,44201,Ozone,District Of Columbia
2020-01-01,110010041,0.019,ppm,18,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-02-01,110010041,0.02,ppm,19,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-03-01,110010041,0.016,ppm,15,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-04-01,110010041,0.014,ppm,13,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-05-01,110010041,0.013,ppm,12,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-06-01,110010041,0.026,ppm,24,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-07-01,110010041,0.03,ppm,28,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-08-01,110010041,0.025,ppm,23,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-09-01,110010041,0.036,ppm,33,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-10-01,110010041,0.034,ppm,31,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-11-01,110010041,0.01,ppm,9,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-12-01,110010041,0.01,ppm,9,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-01-02,110010041,0.032,ppm,30,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-02-02,110010041,0.033,ppm,31,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-03-02,110010041,0.035,ppm,32,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-04-02,110010041,0.036,ppm,33,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-05-02,110010041,0.036,ppm,33,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-06-02,110010041,0.033,ppm,31,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-07-02,110010041,0.033,ppm,31,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-08-02,110010041,0.031,ppm,29,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-09-02,110010041,0.029,ppm,27,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-10-02,110010041,0.022,ppm,20,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-11-02,110010041,0.029,ppm,27,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-12-02,110010041,0.027,ppm,25,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-01-03,110010041,0.034,ppm,31,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-02-03,110010041,0.037,ppm,34,RIVER TERRACE,24,100,44201,Ozone,District Of Columbia
2020-03-03,110010041,0.037,ppm,34,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-04-03,110010041,0.037,ppm,34,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-05-03,110010041,0.037,ppm,34,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-06-03,110010041,0.038,ppm,35,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-07-03,110010041,0.04,ppm,37,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-08-03,110010041,0.039,ppm,36,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-09-03,110010041,0.043,ppm,40,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-10-03,110010041,0.05,ppm,46,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-11-03,110010041,0.051,ppm,47,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-12-03,110010041,0.04,ppm,37,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-01-04,110010041,0.032,ppm,30,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-02-04,110010041,0.041,ppm,38,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-03-04,110010041,0.042,ppm,39,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-04-04,110010041,0.053,ppm,49,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-05-04,110010041,0.049,ppm,45,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-06-04,110010041,0.045,ppm,42,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-07-04,110010041,0.054,ppm,50,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-08-04,110010041,0.039,ppm,36,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
2020-09-04,110010041,0.023,ppm,21,RIVER TERRACE,17,100,44201,Ozone,District Of Columbia
