Domain,Area,Element,Item,Year,Value
Food systems waste disposal,United States of America,Emissions (N2O),Domestic wastewater,1990,10.629803
Food systems waste disposal,United States of America,Emissions (N2O),Domestic wastewater,1991,10.9346
Food systems waste disposal,United States of America,Emissions (N2O),Domestic wastewater,1992,11.138956
Food systems waste disposal,United States of America,Emissions (N2O),Domestic wastewater,1993,11.335046
Food systems waste disposal,United States of America,Emissions (N2O),Domestic wastewater,1994,11.754348
Food systems waste disposal,United States of America,Emissions (N2O),Domestic wastewater,1995,11.739565
Food systems waste disposal,United States of America,Emissions (N2O),Domestic wastewater,1996,11.880133
Food systems waste disposal,United States of America,Emissions (N2O),Domestic wastewater,1997,12.086464
Food systems waste disposal,United States of America,Emissions (N2O),Domestic wastewater,1998,12.296794
Food systems waste disposal,United States of America,Emissions (N2O),Domestic wastewater,1999,12.647031
Food systems waste disposal,United States of America,Emissions (N2O),Domestic wastewater,2000,12.731736
Food systems waste disposal,United States of America,Emissions (N2O),Domestic wastewater,2001,12.688488
Food systems waste disposal,United States of America,Emissions (N2O),Domestic wastewater,2002,12.987312
Food systems waste disposal,United States of America,Emissions (N2O),Domestic wastewater,2003,13.121178
Food systems waste disposal,United States of America,Emissions (N2O),Domestic wastewater,2004,13.349528
Food systems waste disposal,United States of America,Emissions (N2O),Domestic wastewater,2005,13.42764
Food systems waste disposal,United States of America,Emissions (N2O),Domestic wastewater,2006,13.497664
Food systems waste disposal,United States of America,Emissions (N2O),Domestic wastewater,2007,13.658757
Food systems waste disposal,United States of America,Emissions (N2O),Domestic wastewater,2008,13.553251
Food systems waste disposal,United States of America,Emissions (N2O),Domestic wastewater,2009,13.431571
Food systems waste disposal,United States of America,Emissions (N2O),Domestic wastewater,2010,13.510492
Food systems waste disposal,United States of America,Emissions (N2O),Domestic wastewater,2011,13.361784
Food systems waste disposal,United States of America,Emissions (N2O),Domestic wastewater,2012,13.591521
Food systems waste disposal,United States of America,Emissions (N2O),Domestic wastewater,2013,13.676036
Food systems waste disposal,United States of America,Emissions (N2O),Domestic wastewater,2014,13.957707
Food systems waste disposal,United States of America,Emissions (N2O),Domestic wastewater,2015,14.2128
Food systems waste disposal,United States of America,Emissions (N2O),Domestic wastewater,2016,14.41821
Food systems waste disposal,United States of America,Emissions (N2O),Domestic wastewater,2017,14.598283
Food systems waste disposal,United States of America,Emissions (N2O),Domestic wastewater,2018,14.675336
Food systems waste disposal,United States of America,Emissions (N2O),Domestic wastewater,2019,14.742318
Food systems waste disposal,United States of America,Emissions (N2O),Domestic wastewater,2020,14.884704
Food systems waste disposal,United States of America,Emissions (CO2),Incineration,1990,1866.018306
Food systems waste disposal,United States of America,Emissions (CO2),Incineration,1991,1868.059362
Food systems waste disposal,United States of America,Emissions (CO2),Incineration,1992,1871.68474
Food systems waste disposal,United States of America,Emissions (CO2),Incineration,1993,1874.892765
Food systems waste disposal,United States of America,Emissions (CO2),Incineration,1994,1878.738611
Food systems waste disposal,United States of America,Emissions (CO2),Incineration,1995,1881.73524
Food systems waste disposal,United States of America,Emissions (CO2),Incineration,1996,1885.235229
Food systems waste disposal,United States of America,Emissions (CO2),Incineration,1997,1889.079865
Food systems waste disposal,United States of America,Emissions (CO2),Incineration,1998,1892.570774
Food systems waste disposal,United States of America,Emissions (CO2),Incineration,1999,1896.429117
Food systems waste disposal,United States of America,Emissions (CO2),Incineration,2000,1900.384922
Food systems waste disposal,United States of America,Emissions (CO2),Incineration,2001,1902.400826
Food systems waste disposal,United States of America,Emissions (CO2),Incineration,2002,1904.448732
Food systems waste disposal,United States of America,Emissions (CO2),Incineration,2003,1907.437722
Food systems waste disposal,United States of America,Emissions (CO2),Incineration,2004,1911.516302
Food systems waste disposal,United States of America,Emissions (CO2),Incineration,2005,1915.646843
Food systems waste disposal,United States of America,Emissions (CO2),Incineration,2006,1919.315759
Food systems waste disposal,United States of America,Emissions (CO2),Incineration,2007,1922.269847
Food systems waste disposal,United States of America,Emissions (CO2),Incineration,2008,1923.552713
Food systems waste disposal,United States of America,Emissions (CO2),Incineration,2009,1922.286937
Food systems waste disposal,United States of America,Emissions (CO2),Incineration,2010,1924.740214
Food systems waste disposal,United States of America,Emissions (CO2),Incineration,2011,1927.020046
Food systems waste disposal,United States of America,Emissions (CO2),Incineration,2012,1929.626387
Food systems waste disposal,United States of America,Emissions (CO2),Incineration,2013,1931.88515
Food systems waste disposal,United States of America,Emissions (CO2),Incineration,2014,1934.495263
Food systems waste disposal,United States of America,Emissions (CO2),Incineration,2015,1936.820593
Food systems waste disposal,United States of America,Emissions (CO2),Incineration,2016,1938.502248
Food systems waste disposal,United States of America,Emissions (CO2),Incineration,2017,1941.109792
Food systems waste disposal,United States of America,Emissions (CO2),Incineration,2018,1944.432668
Food systems waste disposal,United States of America,Emissions (CO2),Incineration,2019,1946.9928
Food systems waste disposal,United States of America,Emissions (CO2),Incineration,2020,1945.555252
Food systems waste disposal,United States of America,Emissions (CH4),Industrial wastewater,1990,158.62627
Food systems waste disposal,United States of America,Emissions (CH4),Industrial wastewater,1991,158.158901
Food systems waste disposal,United States of America,Emissions (CH4),Industrial wastewater,1992,157.275808
Food systems waste disposal,United States of America,Emissions (CH4),Industrial wastewater,1993,156.421348
Food systems waste disposal,United States of America,Emissions (CH4),Industrial wastewater,1994,155.959952
Food systems waste disposal,United States of America,Emissions (CH4),Industrial wastewater,1995,167.704107
Food systems waste disposal,United States of America,Emissions (CH4),Industrial wastewater,1996,168.915986
Food systems waste disposal,United States of America,Emissions (CH4),Industrial wastewater,1997,169.419903
Food systems waste disposal,United States of America,Emissions (CH4),Industrial wastewater,1998,167.658309
Food systems waste disposal,United States of America,Emissions (CH4),Industrial wastewater,1999,170.819632
Food systems waste disposal,United States of America,Emissions (CH4),Industrial wastewater,2000,170.321977
Food systems waste disposal,United States of America,Emissions (CH4),Industrial wastewater,2001,165.19172
Food systems waste disposal,United States of America,Emissions (CH4),Industrial wastewater,2002,164.008206
Food systems waste disposal,United States of America,Emissions (CH4),Industrial wastewater,2003,158.078876
Food systems waste disposal,United States of America,Emissions (CH4),Industrial wastewater,2004,156.162484
Food systems waste disposal,United States of America,Emissions (CH4),Industrial wastewater,2005,155.23482
Food systems waste disposal,United States of America,Emissions (CH4),Industrial wastewater,2006,156.76374
Food systems waste disposal,United States of America,Emissions (CH4),Industrial wastewater,2007,158.982781
Food systems waste disposal,United States of America,Emissions (CH4),Industrial wastewater,2008,158.63876
Food systems waste disposal,United States of America,Emissions (CH4),Industrial wastewater,2009,158.804956
Food systems waste disposal,United States of America,Emissions (CH4),Industrial wastewater,2010,160.26725
Food systems waste disposal,United States of America,Emissions (CH4),Industrial wastewater,2011,163.838261
Food systems waste disposal,United States of America,Emissions (CH4),Industrial wastewater,2012,167.845897
Food systems waste disposal,United States of America,Emissions (CH4),Industrial wastewater,2013,168.551807
Food systems waste disposal,United States of America,Emissions (CH4),Industrial wastewater,2014,168.612028
Food systems waste disposal,United States of America,Emissions (CH4),Industrial wastewater,2015,155.19918
Food systems waste disposal,United States of America,Emissions (CH4),Industrial wastewater,2016,153.419929
Food systems waste disposal,United States of America,Emissions (CH4),Industrial wastewater,2017,145.81304
Food systems waste disposal,United States of America,Emissions (CH4),Industrial wastewater,2018,138.206152
Food systems waste disposal,United States of America,Emissions (CH4),Industrial wastewater,2019,130.599264
Food systems waste disposal,United States of America,Emissions (CH4),Industrial wastewater,2020,122.992375
Food systems waste disposal,United States of America,Emissions (N2O),Industrial wastewater,1990,1.825248
Food systems waste disposal,United States of America,Emissions (N2O),Industrial wastewater,1991,1.809401
Food systems waste disposal,United States of America,Emissions (N2O),Industrial wastewater,1992,1.792742
Food systems waste disposal,United States of America,Emissions (N2O),Industrial wastewater,1993,1.776489
Food systems waste disposal,United States of America,Emissions (N2O),Industrial wastewater,1994,1.760439
Food systems waste disposal,United States of America,Emissions (N2O),Industrial wastewater,1995,1.743417
Food systems waste disposal,United States of America,Emissions (N2O),Industrial wastewater,1996,1.752989
Food systems waste disposal,United States of America,Emissions (N2O),Industrial wastewater,1997,1.745873
Food systems waste disposal,United States of America,Emissions (N2O),Industrial wastewater,1998,1.724498
Food systems waste disposal,United States of America,Emissions (N2O),Industrial wastewater,1999,1.739563
Food systems waste disposal,United States of America,Emissions (N2O),Industrial wastewater,2000,1.740052
Food systems waste disposal,United States of America,Emissions (N2O),Industrial wastewater,2001,1.696679
Food systems waste disposal,United States of America,Emissions (N2O),Industrial wastewater,2002,1.666772
Food systems waste disposal,United States of America,Emissions (N2O),Industrial wastewater,2003,1.655231
Food systems waste disposal,United States of America,Emissions (N2O),Industrial wastewater,2004,1.636885
Food systems waste disposal,United States of America,Emissions (N2O),Industrial wastewater,2005,1.629281
Food systems waste disposal,United States of America,Emissions (N2O),Industrial wastewater,2006,1.683689
Food systems waste disposal,United States of America,Emissions (N2O),Industrial wastewater,2007,1.751035
Food systems waste disposal,United States of America,Emissions (N2O),Industrial wastewater,2008,1.784754
Food systems waste disposal,United States of America,Emissions (N2O),Industrial wastewater,2009,1.81221
Food systems waste disposal,United States of America,Emissions (N2O),Industrial wastewater,2010,1.87316
Food systems waste disposal,United States of America,Emissions (N2O),Industrial wastewater,2011,2.003763
Food systems waste disposal,United States of America,Emissions (N2O),Industrial wastewater,2012,2.055182
Food systems waste disposal,United States of America,Emissions (N2O),Industrial wastewater,2013,2.126886
Food systems waste disposal,United States of America,Emissions (N2O),Industrial wastewater,2014,2.167856
Food systems waste disposal,United States of America,Emissions (N2O),Industrial wastewater,2015,2.140396
Food systems waste disposal,United States of America,Emissions (N2O),Industrial wastewater,2016,2.183726
Food systems waste disposal,United States of America,Emissions (N2O),Industrial wastewater,2017,2.164883
Food systems waste disposal,United States of America,Emissions (N2O),Industrial wastewater,2018,2.138203
Food systems waste disposal,United States of America,Emissions (N2O),Industrial wastewater,2019,2.057516
Food systems waste disposal,United States of America,Emissions (N2O),Industrial wastewater,2020,1.976828
Food systems waste disposal,United States of America,Emissions (CH4),Solid food waste,1990,1321.604161
Food systems waste disposal,United States of America,Emissions (CH4),Solid food waste,1991,1337.513791
Food systems waste disposal,United States of America,Emissions (CH4),Solid food waste,1992,1350.086092
Food systems waste disposal,United States of America,Emissions (CH4),Solid food waste,1993,1360.063445
Food systems waste disposal,United States of America,Emissions (CH4),Solid food waste,1994,1368.239005
Food systems waste disposal,United States of America,Emissions (CH4),Solid food waste,1995,1374.890752
Food systems waste disposal,United States of America,Emissions (CH4),Solid food waste,1996,1380.518458
Food systems waste disposal,United States of America,Emissions (CH4),Solid food waste,1997,1385.44495
Food systems waste disposal,United States of America,Emissions (CH4),Solid food waste,1998,1389.772442
Food systems waste disposal,United States of America,Emissions (CH4),Solid food waste,1999,1393.731828
Food systems waste disposal,United States of America,Emissions (CH4),Solid food waste,2000,1397.43134
Food systems waste disposal,United States of America,Emissions (CH4),Solid food waste,2001,1400.544755
Food systems waste disposal,United States of America,Emissions (CH4),Solid food waste,2002,1403.253244
Food systems waste disposal,United States of America,Emissions (CH4),Solid food waste,2003,1405.848867
Food systems waste disposal,United States of America,Emissions (CH4),Solid food waste,2004,1408.567314
Food systems waste disposal,United States of America,Emissions (CH4),Solid food waste,2005,1411.373334
Food systems waste disposal,United States of America,Emissions (CH4),Solid food waste,2006,1414.150967
Food systems waste disposal,United States of America,Emissions (CH4),Solid food waste,2007,1416.769527
Food systems waste disposal,United States of America,Emissions (CH4),Solid food waste,2008,1418.942163
Food systems waste disposal,United States of America,Emissions (CH4),Solid food waste,2009,1420.290817
Food systems waste disposal,United States of America,Emissions (CH4),Solid food waste,2010,1421.808199
Food systems waste disposal,United States of America,Emissions (CH4),Solid food waste,2011,1423.366917
Food systems waste disposal,United States of America,Emissions (CH4),Solid food waste,2012,1425.024582
Food systems waste disposal,United States of America,Emissions (CH4),Solid food waste,2013,1426.681668
Food systems waste disposal,United States of America,Emissions (CH4),Solid food waste,2014,1428.41376
Food systems waste disposal,United States of America,Emissions (CH4),Solid food waste,2015,1430.139734
Food systems waste disposal,United States of America,Emissions (CH4),Solid food waste,2016,1431.735228
Food systems waste disposal,United States of America,Emissions (CH4),Solid food waste,2017,1433.428548
Food systems waste disposal,United States of America,Emissions (CH4),Solid food waste,2018,1435.326654
Food systems waste disposal,United States of America,Emissions (CH4),Solid food waste,2019,1437.214292
Food systems waste disposal,United States of America,Emissions (CH4),Solid food waste,2020,1438.298685
